ID,Nombre,Apellido,Rol,Departamento,Sucursal/Asignación,Teléfono
802,Nombre_802,Apellido_802,Oficial de Crédito,Petén,Sucursal/Agencia 275,+502 2745-6691
803,Nombre_803,Apellido_803,Asesor Financiero,Alta Verapaz,Sucursal/Agencia 76,+502 1320-4783
804,Nombre_804,Apellido_804,Cajero,Guatemala,Sucursal/Agencia 722,+502 9760-8322
805,Nombre_805,Apellido_805,Soporte Técnico,Sacatepéquez,Sucursal/Agencia 730,+502 4390-2019
806,Nombre_806,Apellido_806,Asesor Financiero,Escuintla,Sucursal/Agencia 18,+502 8173-9646
807,Nombre_807,Apellido_807,Gerente de Sucursal,Petén,Sucursal/Agencia 298,+502 1478-2373
808,Nombre_808,Apellido_808,Asesor Financiero,Jalapa,Sucursal/Agencia 195,+502 9875-9295
809,Nombre_809,Apellido_809,Auditor Interno,Chiquimula,Sucursal/Agencia 329,+502 9249-6388
810,Nombre_810,Apellido_810,Soporte Técnico,Jutiapa,Sucursal/Agencia 713,+502 1082-4479
811,Nombre_811,Apellido_811,Auditor Interno,Chiquimula,Sucursal/Agencia 962,+502 8883-3468
812,Nombre_812,Apellido_812,Soporte Técnico,Escuintla,Sucursal/Agencia 864,+502 8565-1023
813,Nombre_813,Apellido_813,Auditor Interno,Quetzaltenango,Sucursal/Agencia 743,+502 5287-1165
814,Nombre_814,Apellido_814,Gerente de Sucursal,Alta Verapaz,Sucursal/Agencia 971,+502 6148-9378
815,Nombre_815,Apellido_815,Gerente de Sucursal,Jalapa,Sucursal/Agencia 621,+502 4444-5770
816,Nombre_816,Apellido_816,Administrador,Guatemala,Sucursal/Agencia 969,+502 4449-7589
817,Nombre_817,Apellido_817,Auditor Interno,Jalapa,Sucursal/Agencia 477,+502 1576-8762
818,Nombre_818,Apellido_818,Atención al Cliente,Guatemala,Sucursal/Agencia 573,+502 1996-2870
819,Nombre_819,Apellido_819,Auditor Interno,Petén,Sucursal/Agencia 947,+502 5286-8914
820,Nombre_820,Apellido_820,Auditor Interno,Petén,Sucursal/Agencia 873,+502 1470-4033
821,Nombre_821,Apellido_821,Cumplimiento,Escuintla,Sucursal/Agencia 603,+502 1747-8438
822,Nombre_822,Apellido_822,Auditor Interno,Alta Verapaz,Sucursal/Agencia 975,+502 1382-8518
823,Nombre_823,Apellido_823,Gerente de Sucursal,Petén,Sucursal/Agencia 977,+502 2193-6828
824,Nombre_824,Apellido_824,Atención al Cliente,Jutiapa,Sucursal/Agencia 158,+502 9303-8029
825,Nombre_825,Apellido_825,Auditor Interno,Jutiapa,Sucursal/Agencia 235,+502 2683-1053
826,Nombre_826,Apellido_826,Ejecutivo de Cuentas,Sacatepéquez,Sucursal/Agencia 100,+502 2458-6111
827,Nombre_827,Apellido_827,Cumplimiento,Jutiapa,Sucursal/Agencia 140,+502 8590-6653
828,Nombre_828,Apellido_828,Soporte Técnico,Petén,Sucursal/Agencia 378,+502 5788-2345
829,Nombre_829,Apellido_829,Cajero,Guatemala,Sucursal/Agencia 447,+502 7651-4804
830,Nombre_830,Apellido_830,Gerente de Sucursal,Jalapa,Sucursal/Agencia 443,+502 7366-3404
831,Nombre_831,Apellido_831,Cumplimiento,Quetzaltenango,Sucursal/Agencia 977,+502 4770-7975
832,Nombre_832,Apellido_832,Gerente de Sucursal,Jutiapa,Sucursal/Agencia 35,+502 2303-8319
833,Nombre_833,Apellido_833,Cajero,Guatemala,Sucursal/Agencia 197,+502 5179-1365
834,Nombre_834,Apellido_834,Oficial de Crédito,Escuintla,Sucursal/Agencia 687,+502 8712-5018
835,Nombre_835,Apellido_835,Auditor Interno,Jalapa,Sucursal/Agencia 233,+502 9803-3405
836,Nombre_836,Apellido_836,Atención al Cliente,Sacatepéquez,Sucursal/Agencia 21,+502 3787-6782
837,Nombre_837,Apellido_837,Ejecutivo de Cuentas,Petén,Sucursal/Agencia 4,+502 7706-6586
838,Nombre_838,Apellido_838,Administrador,Quetzaltenango,Sucursal/Agencia 285,+502 2025-9910
839,Nombre_839,Apellido_839,Soporte Técnico,Quetzaltenango,Sucursal/Agencia 394,+502 7241-2481
840,Nombre_840,Apellido_840,Asesor Financiero,Chiquimula,Sucursal/Agencia 17,+502 6826-8282
841,Nombre_841,Apellido_841,Auditor Interno,Guatemala,Sucursal/Agencia 136,+502 9642-9843
842,Nombre_842,Apellido_842,Gerente de Sucursal,Jutiapa,Sucursal/Agencia 584,+502 7119-2117
843,Nombre_843,Apellido_843,Auditor Interno,Guatemala,Sucursal/Agencia 124,+502 5768-5483
844,Nombre_844,Apellido_844,Atención al Cliente,Chiquimula,Sucursal/Agencia 876,+502 2293-3359
845,Nombre_845,Apellido_845,Cajero,Quetzaltenango,Sucursal/Agencia 898,+502 8191-1604
846,Nombre_846,Apellido_846,Soporte Técnico,Sacatepéquez,Sucursal/Agencia 551,+502 9896-1073
847,Nombre_847,Apellido_847,Gerente de Sucursal,Chiquimula,Sucursal/Agencia 234,+502 5664-1158
848,Nombre_848,Apellido_848,Atención al Cliente,Jalapa,Sucursal/Agencia 485,+502 4721-2755
849,Nombre_849,Apellido_849,Cumplimiento,Jutiapa,Sucursal/Agencia 78,+502 1197-1798
850,Nombre_850,Apellido_850,Gerente de Sucursal,Alta Verapaz,Sucursal/Agencia 717,+502 3790-9083
851,Nombre_851,Apellido_851,Gerente de Sucursal,Quetzaltenango,Sucursal/Agencia 189,+502 8519-1761
852,Nombre_852,Apellido_852,Atención al Cliente,Jutiapa,Sucursal/Agencia 602,+502 3846-3207
853,Nombre_853,Apellido_853,Auditor Interno,Chiquimula,Sucursal/Agencia 67,+502 5797-6209
854,Nombre_854,Apellido_854,Soporte Técnico,Petén,Sucursal/Agencia 710,+502 4757-8236
855,Nombre_855,Apellido_855,Gerente de Sucursal,Guatemala,Sucursal/Agencia 366,+502 9361-2825
856,Nombre_856,Apellido_856,Cumplimiento,Jalapa,Sucursal/Agencia 23,+502 1005-6982
857,Nombre_857,Apellido_857,Oficial de Crédito,Alta Verapaz,Sucursal/Agencia 611,+502 6133-9403
858,Nombre_858,Apellido_858,Administrador,Escuintla,Sucursal/Agencia 289,+502 8980-9486
859,Nombre_859,Apellido_859,Auditor Interno,Jalapa,Sucursal/Agencia 977,+502 9103-4098
860,Nombre_860,Apellido_860,Oficial de Crédito,Alta Verapaz,Sucursal/Agencia 632,+502 1325-5757
861,Nombre_861,Apellido_861,Soporte Técnico,Petén,Sucursal/Agencia 664,+502 3899-5236
862,Nombre_862,Apellido_862,Asesor Financiero,Quetzaltenango,Sucursal/Agencia 253,+502 8655-1562
863,Nombre_863,Apellido_863,Cumplimiento,Jutiapa,Sucursal/Agencia 334,+502 5175-8032
864,Nombre_864,Apellido_864,Auditor Interno,Alta Verapaz,Sucursal/Agencia 292,+502 5123-8631
865,Nombre_865,Apellido_865,Soporte Técnico,Petén,Sucursal/Agencia 740,+502 8271-5177
866,Nombre_866,Apellido_866,Ejecutivo de Cuentas,Huehuetenango,Sucursal/Agencia 133,+502 7645-7907
867,Nombre_867,Apellido_867,Administrador,Sacatepéquez,Sucursal/Agencia 317,+502 3549-3095
868,Nombre_868,Apellido_868,Auditor Interno,Huehuetenango,Sucursal/Agencia 992,+502 5376-4797
869,Nombre_869,Apellido_869,Atención al Cliente,Huehuetenango,Sucursal/Agencia 72,+502 1214-3585
870,Nombre_870,Apellido_870,Administrador,Chiquimula,Sucursal/Agencia 523,+502 3560-1241
871,Nombre_871,Apellido_871,Soporte Técnico,Escuintla,Sucursal/Agencia 336,+502 9319-5019
872,Nombre_872,Apellido_872,Auditor Interno,Sacatepéquez,Sucursal/Agencia 961,+502 6151-3731
873,Nombre_873,Apellido_873,Oficial de Crédito,Petén,Sucursal/Agencia 268,+502 5050-9608
874,Nombre_874,Apellido_874,Asesor Financiero,Petén,Sucursal/Agencia 778,+502 6414-6821
875,Nombre_875,Apellido_875,Cajero,Sacatepéquez,Sucursal/Agencia 294,+502 4019-3560
876,Nombre_876,Apellido_876,Administrador,Sacatepéquez,Sucursal/Agencia 26,+502 5998-5932
877,Nombre_877,Apellido_877,Auditor Interno,Chiquimula,Sucursal/Agencia 650,+502 8662-6564
878,Nombre_878,Apellido_878,Gerente de Sucursal,Escuintla,Sucursal/Agencia 6,+502 7107-1356
879,Nombre_879,Apellido_879,Asesor Financiero,Guatemala,Sucursal/Agencia 489,+502 1809-4015
880,Nombre_880,Apellido_880,Ejecutivo de Cuentas,Escuintla,Sucursal/Agencia 745,+502 1262-5585
881,Nombre_881,Apellido_881,Cumplimiento,Sacatepéquez,Sucursal/Agencia 899,+502 8015-7067
882,Nombre_882,Apellido_882,Cumplimiento,Jalapa,Sucursal/Agencia 162,+502 6619-9950
883,Nombre_883,Apellido_883,Ejecutivo de Cuentas,Petén,Sucursal/Agencia 875,+502 6559-8746
884,Nombre_884,Apellido_884,Cumplimiento,Jalapa,Sucursal/Agencia 925,+502 2592-3077
885,Nombre_885,Apellido_885,Cumplimiento,Jalapa,Sucursal/Agencia 474,+502 6508-7019
886,Nombre_886,Apellido_886,Ejecutivo de Cuentas,Huehuetenango,Sucursal/Agencia 372,+502 3391-1269
887,Nombre_887,Apellido_887,Asesor Financiero,Quetzaltenango,Sucursal/Agencia 794,+502 2114-9527
888,Nombre_888,Apellido_888,Asesor Financiero,Jutiapa,Sucursal/Agencia 263,+502 9231-3350
889,Nombre_889,Apellido_889,Atención al Cliente,Escuintla,Sucursal/Agencia 64,+502 1985-6418
890,Nombre_890,Apellido_890,Cumplimiento,Jalapa,Sucursal/Agencia 718,+502 8860-3023
891,Nombre_891,Apellido_891,Gerente de Sucursal,Quetzaltenango,Sucursal/Agencia 256,+502 1523-9787
892,Nombre_892,Apellido_892,Ejecutivo de Cuentas,Jalapa,Sucursal/Agencia 200,+502 3612-2196
893,Nombre_893,Apellido_893,Administrador,Jutiapa,Sucursal/Agencia 941,+502 5166-8855
894,Nombre_894,Apellido_894,Oficial de Crédito,Huehuetenango,Sucursal/Agencia 439,+502 7163-8018
895,Nombre_895,Apellido_895,Soporte Técnico,Alta Verapaz,Sucursal/Agencia 574,+502 3409-2591
896,Nombre_896,Apellido_896,Asesor Financiero,Petén,Sucursal/Agencia 127,+502 9860-8661
897,Nombre_897,Apellido_897,Ejecutivo de Cuentas,Petén,Sucursal/Agencia 571,+502 2474-5986
898,Nombre_898,Apellido_898,Ejecutivo de Cuentas,Petén,Sucursal/Agencia 752,+502 5587-2538
899,Nombre_899,Apellido_899,Auditor Interno,Quetzaltenango,Sucursal/Agencia 699,+502 8862-2398
900,Nombre_900,Apellido_900,Cajero,Huehuetenango,Sucursal/Agencia 680,+502 7323-8146
901,Nombre_901,Apellido_901,Auditor Interno,Chiquimula,Sucursal/Agencia 655,+502 7224-7137
902,Nombre_902,Apellido_902,Ejecutivo de Cuentas,Jutiapa,Sucursal/Agencia 842,+502 1435-6244
903,Nombre_903,Apellido_903,Atención al Cliente,Sacatepéquez,Sucursal/Agencia 858,+502 2122-3887
904,Nombre_904,Apellido_904,Cajero,Alta Verapaz,Sucursal/Agencia 255,+502 4233-1651
905,Nombre_905,Apellido_905,Asesor Financiero,Petén,Sucursal/Agencia 73,+502 5920-4189
906,Nombre_906,Apellido_906,Soporte Técnico,Jutiapa,Sucursal/Agencia 225,+502 3855-1499
907,Nombre_907,Apellido_907,Ejecutivo de Cuentas,Quetzaltenango,Sucursal/Agencia 267,+502 9859-8795
908,Nombre_908,Apellido_908,Atención al Cliente,Quetzaltenango,Sucursal/Agencia 366,+502 1490-4481
909,Nombre_909,Apellido_909,Atención al Cliente,Quetzaltenango,Sucursal/Agencia 8,+502 8606-3312
910,Nombre_910,Apellido_910,Asesor Financiero,Huehuetenango,Sucursal/Agencia 278,+502 8662-5303
911,Nombre_911,Apellido_911,Administrador,Guatemala,Sucursal/Agencia 494,+502 6865-4534
912,Nombre_912,Apellido_912,Gerente de Sucursal,Huehuetenango,Sucursal/Agencia 352,+502 3027-7119
913,Nombre_913,Apellido_913,Gerente de Sucursal,Quetzaltenango,Sucursal/Agencia 361,+502 1461-5325
914,Nombre_914,Apellido_914,Ejecutivo de Cuentas,Escuintla,Sucursal/Agencia 476,+502 3470-4887
915,Nombre_915,Apellido_915,Soporte Técnico,Petén,Sucursal/Agencia 366,+502 7932-4063
916,Nombre_916,Apellido_916,Auditor Interno,Jutiapa,Sucursal/Agencia 823,+502 9390-6228
917,Nombre_917,Apellido_917,Soporte Técnico,Jutiapa,Sucursal/Agencia 334,+502 8841-4525
918,Nombre_918,Apellido_918,Asesor Financiero,Chiquimula,Sucursal/Agencia 532,+502 4526-1684
919,Nombre_919,Apellido_919,Atención al Cliente,Petén,Sucursal/Agencia 353,+502 7189-1299
920,Nombre_920,Apellido_920,Auditor Interno,Guatemala,Sucursal/Agencia 126,+502 3320-5391
921,Nombre_921,Apellido_921,Administrador,Guatemala,Sucursal/Agencia 757,+502 6202-6261
922,Nombre_922,Apellido_922,Gerente de Sucursal,Escuintla,Sucursal/Agencia 776,+502 4415-9240
923,Nombre_923,Apellido_923,Administrador,Alta Verapaz,Sucursal/Agencia 897,+502 9903-9001
924,Nombre_924,Apellido_924,Atención al Cliente,Jalapa,Sucursal/Agencia 504,+502 7928-6622
925,Nombre_925,Apellido_925,Oficial de Crédito,Huehuetenango,Sucursal/Agencia 808,+502 3910-9598
926,Nombre_926,Apellido_926,Ejecutivo de Cuentas,Huehuetenango,Sucursal/Agencia 474,+502 6367-8304
927,Nombre_927,Apellido_927,Auditor Interno,Alta Verapaz,Sucursal/Agencia 979,+502 8182-4223
928,Nombre_928,Apellido_928,Asesor Financiero,Escuintla,Sucursal/Agencia 7,+502 8175-5429
929,Nombre_929,Apellido_929,Atención al Cliente,Sacatepéquez,Sucursal/Agencia 314,+502 4697-3012
930,Nombre_930,Apellido_930,Soporte Técnico,Guatemala,Sucursal/Agencia 932,+502 7419-1504
931,Nombre_931,Apellido_931,Cumplimiento,Huehuetenango,Sucursal/Agencia 954,+502 4684-6013
932,Nombre_932,Apellido_932,Cajero,Petén,Sucursal/Agencia 454,+502 3982-3042
933,Nombre_933,Apellido_933,Auditor Interno,Guatemala,Sucursal/Agencia 880,+502 8371-6864
934,Nombre_934,Apellido_934,Asesor Financiero,Chiquimula,Sucursal/Agencia 983,+502 6658-8622
935,Nombre_935,Apellido_935,Cumplimiento,Escuintla,Sucursal/Agencia 689,+502 2665-2190
936,Nombre_936,Apellido_936,Ejecutivo de Cuentas,Escuintla,Sucursal/Agencia 836,+502 1413-7596
937,Nombre_937,Apellido_937,Auditor Interno,Sacatepéquez,Sucursal/Agencia 121,+502 3194-5800
938,Nombre_938,Apellido_938,Ejecutivo de Cuentas,Chiquimula,Sucursal/Agencia 508,+502 1753-6975
939,Nombre_939,Apellido_939,Cajero,Jalapa,Sucursal/Agencia 564,+502 3857-8687
940,Nombre_940,Apellido_940,Asesor Financiero,Guatemala,Sucursal/Agencia 234,+502 5144-2841
941,Nombre_941,Apellido_941,Auditor Interno,Alta Verapaz,Sucursal/Agencia 269,+502 7386-9041
942,Nombre_942,Apellido_942,Cumplimiento,Guatemala,Sucursal/Agencia 882,+502 2612-4774
943,Nombre_943,Apellido_943,Oficial de Crédito,Chiquimula,Sucursal/Agencia 636,+502 7836-3539
944,Nombre_944,Apellido_944,Soporte Técnico,Petén,Sucursal/Agencia 191,+502 7550-1602
945,Nombre_945,Apellido_945,Soporte Técnico,Chiquimula,Sucursal/Agencia 712,+502 9531-8890
946,Nombre_946,Apellido_946,Oficial de Crédito,Jutiapa,Sucursal/Agencia 483,+502 9331-4586
947,Nombre_947,Apellido_947,Gerente de Sucursal,Jutiapa,Sucursal/Agencia 230,+502 4212-6159
948,Nombre_948,Apellido_948,Auditor Interno,Alta Verapaz,Sucursal/Agencia 791,+502 3669-4776
949,Nombre_949,Apellido_949,Atención al Cliente,Jutiapa,Sucursal/Agencia 911,+502 8717-8813
950,Nombre_950,Apellido_950,Oficial de Crédito,Chiquimula,Sucursal/Agencia 923,+502 7137-3269
951,Nombre_951,Apellido_951,Atención al Cliente,Jutiapa,Sucursal/Agencia 137,+502 8993-2359
952,Nombre_952,Apellido_952,Atención al Cliente,Jutiapa,Sucursal/Agencia 78,+502 7415-9094
953,Nombre_953,Apellido_953,Auditor Interno,Guatemala,Sucursal/Agencia 818,+502 8539-6707
954,Nombre_954,Apellido_954,Cumplimiento,Sacatepéquez,Sucursal/Agencia 691,+502 3495-8113
955,Nombre_955,Apellido_955,Ejecutivo de Cuentas,Jutiapa,Sucursal/Agencia 812,+502 4495-8151
956,Nombre_956,Apellido_956,Oficial de Crédito,Petén,Sucursal/Agencia 434,+502 3325-9941
957,Nombre_957,Apellido_957,Auditor Interno,Alta Verapaz,Sucursal/Agencia 988,+502 7693-5241
958,Nombre_958,Apellido_958,Cajero,Sacatepéquez,Sucursal/Agencia 481,+502 4044-1294
959,Nombre_959,Apellido_959,Atención al Cliente,Jutiapa,Sucursal/Agencia 706,+502 1883-2198
960,Nombre_960,Apellido_960,Cumplimiento,Chiquimula,Sucursal/Agencia 605,+502 9452-9404
961,Nombre_961,Apellido_961,Ejecutivo de Cuentas,Chiquimula,Sucursal/Agencia 169,+502 7308-1659
962,Nombre_962,Apellido_962,Atención al Cliente,Petén,Sucursal/Agencia 933,+502 7426-2510
963,Nombre_963,Apellido_963,Administrador,Jutiapa,Sucursal/Agencia 144,+502 6919-1734
964,Nombre_964,Apellido_964,Gerente de Sucursal,Alta Verapaz,Sucursal/Agencia 207,+502 2994-7423
965,Nombre_965,Apellido_965,Administrador,Chiquimula,Sucursal/Agencia 158,+502 1385-4342
966,Nombre_966,Apellido_966,Cumplimiento,Chiquimula,Sucursal/Agencia 407,+502 4272-7794
967,Nombre_967,Apellido_967,Oficial de Crédito,Chiquimula,Sucursal/Agencia 394,+502 2938-9535
968,Nombre_968,Apellido_968,Oficial de Crédito,Guatemala,Sucursal/Agencia 921,+502 6176-8929
969,Nombre_969,Apellido_969,Gerente de Sucursal,Jutiapa,Sucursal/Agencia 611,+502 3522-7675
970,Nombre_970,Apellido_970,Administrador,Petén,Sucursal/Agencia 294,+502 3155-4942
971,Nombre_971,Apellido_971,Asesor Financiero,Huehuetenango,Sucursal/Agencia 328,+502 9772-4840
972,Nombre_972,Apellido_972,Auditor Interno,Jutiapa,Sucursal/Agencia 611,+502 7209-8735
973,Nombre_973,Apellido_973,Asesor Financiero,Guatemala,Sucursal/Agencia 678,+502 4265-2978
974,Nombre_974,Apellido_974,Soporte Técnico,Chiquimula,Sucursal/Agencia 598,+502 4775-2438
975,Nombre_975,Apellido_975,Gerente de Sucursal,Chiquimula,Sucursal/Agencia 536,+502 1059-7031
976,Nombre_976,Apellido_976,Cajero,Escuintla,Sucursal/Agencia 315,+502 1483-7229
977,Nombre_977,Apellido_977,Administrador,Quetzaltenango,Sucursal/Agencia 469,+502 7290-6641
978,Nombre_978,Apellido_978,Ejecutivo de Cuentas,Petén,Sucursal/Agencia 315,+502 3662-9168
979,Nombre_979,Apellido_979,Oficial de Crédito,Huehuetenango,Sucursal/Agencia 225,+502 4247-9164
980,Nombre_980,Apellido_980,Ejecutivo de Cuentas,Escuintla,Sucursal/Agencia 670,+502 2971-1611
981,Nombre_981,Apellido_981,Gerente de Sucursal,Alta Verapaz,Sucursal/Agencia 849,+502 7801-3680
982,Nombre_982,Apellido_982,Soporte Técnico,Huehuetenango,Sucursal/Agencia 869,+502 3505-1145
983,Nombre_983,Apellido_983,Cajero,Alta Verapaz,Sucursal/Agencia 618,+502 2220-8704
984,Nombre_984,Apellido_984,Auditor Interno,Huehuetenango,Sucursal/Agencia 517,+502 5632-1673
985,Nombre_985,Apellido_985,Ejecutivo de Cuentas,Sacatepéquez,Sucursal/Agencia 974,+502 5463-3681
986,Nombre_986,Apellido_986,Soporte Técnico,Guatemala,Sucursal/Agencia 584,+502 8072-8862
987,Nombre_987,Apellido_987,Asesor Financiero,Guatemala,Sucursal/Agencia 113,+502 6147-7995
988,Nombre_988,Apellido_988,Cumplimiento,Petén,Sucursal/Agencia 340,+502 2990-5007
989,Nombre_989,Apellido_989,Cumplimiento,Huehuetenango,Sucursal/Agencia 178,+502 2497-9844
990,Nombre_990,Apellido_990,Soporte Técnico,Petén,Sucursal/Agencia 792,+502 5803-1795
991,Nombre_991,Apellido_991,Ejecutivo de Cuentas,Petén,Sucursal/Agencia 64,+502 8389-2367
992,Nombre_992,Apellido_992,Auditor Interno,Jalapa,Sucursal/Agencia 864,+502 1488-7052
993,Nombre_993,Apellido_993,Soporte Técnico,Huehuetenango,Sucursal/Agencia 652,+502 6314-6707
994,Nombre_994,Apellido_994,Cajero,Jutiapa,Sucursal/Agencia 291,+502 7288-8150
995,Nombre_995,Apellido_995,Soporte Técnico,Huehuetenango,Sucursal/Agencia 445,+502 3760-6794
996,Nombre_996,Apellido_996,Soporte Técnico,Guatemala,Sucursal/Agencia 37,+502 4107-1836
997,Nombre_997,Apellido_997,Gerente de Sucursal,Escuintla,Sucursal/Agencia 473,+502 8177-1771
998,Nombre_998,Apellido_998,Cajero,Petén,Sucursal/Agencia 233,+502 5213-7015
999,Nombre_999,Apellido_999,Administrador,Quetzaltenango,Sucursal/Agencia 795,+502 4510-9113
1000,Nombre_1000,Apellido_1000,Cajero,Quetzaltenango,Sucursal/Agencia 911,+502 9522-7735
1001,Nombre_1001,Apellido_1001,Soporte Técnico,Jalapa,Sucursal/Agencia 825,+502 9197-5013
1002,Nombre_1002,Apellido_1002,Oficial de Crédito,Jalapa,Sucursal/Agencia 487,+502 6895-9162
1003,Nombre_1003,Apellido_1003,Cajero,Petén,Sucursal/Agencia 421,+502 5865-5150
1004,Nombre_1004,Apellido_1004,Atención al Cliente,Sacatepéquez,Sucursal/Agencia 409,+502 5752-9320
1005,Nombre_1005,Apellido_1005,Cumplimiento,Quetzaltenango,Sucursal/Agencia 263,+502 6904-6283
1006,Nombre_1006,Apellido_1006,Cumplimiento,Jutiapa,Sucursal/Agencia 146,+502 5396-8741
1007,Nombre_1007,Apellido_1007,Gerente de Sucursal,Petén,Sucursal/Agencia 195,+502 5273-1680
1008,Nombre_1008,Apellido_1008,Soporte Técnico,Quetzaltenango,Sucursal/Agencia 862,+502 7203-3974
1009,Nombre_1009,Apellido_1009,Asesor Financiero,Jalapa,Sucursal/Agencia 383,+502 9536-6225
1010,Nombre_1010,Apellido_1010,Soporte Técnico,Escuintla,Sucursal/Agencia 308,+502 3313-5809
1011,Nombre_1011,Apellido_1011,Cumplimiento,Petén,Sucursal/Agencia 18,+502 3028-3458
1012,Nombre_1012,Apellido_1012,Asesor Financiero,Escuintla,Sucursal/Agencia 516,+502 9447-5436
1013,Nombre_1013,Apellido_1013,Cumplimiento,Escuintla,Sucursal/Agencia 710,+502 1821-4227
1014,Nombre_1014,Apellido_1014,Atención al Cliente,Quetzaltenango,Sucursal/Agencia 823,+502 4167-5007
1015,Nombre_1015,Apellido_1015,Auditor Interno,Jutiapa,Sucursal/Agencia 872,+502 4877-8203
1016,Nombre_1016,Apellido_1016,Asesor Financiero,Guatemala,Sucursal/Agencia 792,+502 7347-5764
1017,Nombre_1017,Apellido_1017,Soporte Técnico,Jalapa,Sucursal/Agencia 286,+502 7409-3934
1018,Nombre_1018,Apellido_1018,Atención al Cliente,Jalapa,Sucursal/Agencia 762,+502 9979-5937
1019,Nombre_1019,Apellido_1019,Atención al Cliente,Petén,Sucursal/Agencia 854,+502 8387-8611
1020,Nombre_1020,Apellido_1020,Oficial de Crédito,Quetzaltenango,Sucursal/Agencia 31,+502 2352-5088
1021,Nombre_1021,Apellido_1021,Ejecutivo de Cuentas,Quetzaltenango,Sucursal/Agencia 999,+502 6820-6544
1022,Nombre_1022,Apellido_1022,Cajero,Quetzaltenango,Sucursal/Agencia 649,+502 5447-2582
1023,Nombre_1023,Apellido_1023,Auditor Interno,Quetzaltenango,Sucursal/Agencia 850,+502 3467-2895
1024,Nombre_1024,Apellido_1024,Atención al Cliente,Chiquimula,Sucursal/Agencia 117,+502 2853-1982
1025,Nombre_1025,Apellido_1025,Cajero,Escuintla,Sucursal/Agencia 369,+502 7699-6948
1026,Nombre_1026,Apellido_1026,Asesor Financiero,Guatemala,Sucursal/Agencia 471,+502 7857-9536
1027,Nombre_1027,Apellido_1027,Asesor Financiero,Jutiapa,Sucursal/Agencia 140,+502 8467-5472
1028,Nombre_1028,Apellido_1028,Asesor Financiero,Quetzaltenango,Sucursal/Agencia 821,+502 2307-2586
1029,Nombre_1029,Apellido_1029,Asesor Financiero,Guatemala,Sucursal/Agencia 673,+502 5672-3279
1030,Nombre_1030,Apellido_1030,Gerente de Sucursal,Chiquimula,Sucursal/Agencia 127,+502 8055-6550
1031,Nombre_1031,Apellido_1031,Administrador,Guatemala,Sucursal/Agencia 942,+502 5927-1425
1032,Nombre_1032,Apellido_1032,Cumplimiento,Petén,Sucursal/Agencia 478,+502 9591-5223
1033,Nombre_1033,Apellido_1033,Atención al Cliente,Guatemala,Sucursal/Agencia 665,+502 3931-9788
1034,Nombre_1034,Apellido_1034,Soporte Técnico,Guatemala,Sucursal/Agencia 189,+502 5850-5605
1035,Nombre_1035,Apellido_1035,Auditor Interno,Alta Verapaz,Sucursal/Agencia 571,+502 9258-8305
1036,Nombre_1036,Apellido_1036,Administrador,Escuintla,Sucursal/Agencia 873,+502 5886-8436
1037,Nombre_1037,Apellido_1037,Auditor Interno,Huehuetenango,Sucursal/Agencia 105,+502 6600-6574
1038,Nombre_1038,Apellido_1038,Oficial de Crédito,Chiquimula,Sucursal/Agencia 882,+502 8877-8192
1039,Nombre_1039,Apellido_1039,Asesor Financiero,Jalapa,Sucursal/Agencia 188,+502 3790-3094
1040,Nombre_1040,Apellido_1040,Auditor Interno,Guatemala,Sucursal/Agencia 629,+502 5239-7250
1041,Nombre_1041,Apellido_1041,Cajero,Guatemala,Sucursal/Agencia 778,+502 7884-6953
1042,Nombre_1042,Apellido_1042,Cumplimiento,Jutiapa,Sucursal/Agencia 676,+502 9102-5795
1043,Nombre_1043,Apellido_1043,Cumplimiento,Escuintla,Sucursal/Agencia 237,+502 6063-1267
1044,Nombre_1044,Apellido_1044,Auditor Interno,Jalapa,Sucursal/Agencia 748,+502 7028-7045
1045,Nombre_1045,Apellido_1045,Atención al Cliente,Guatemala,Sucursal/Agencia 225,+502 1740-9230
1046,Nombre_1046,Apellido_1046,Auditor Interno,Huehuetenango,Sucursal/Agencia 32,+502 2368-9935
1047,Nombre_1047,Apellido_1047,Oficial de Crédito,Huehuetenango,Sucursal/Agencia 349,+502 4765-7796
1048,Nombre_1048,Apellido_1048,Auditor Interno,Alta Verapaz,Sucursal/Agencia 78,+502 6118-9445
1049,Nombre_1049,Apellido_1049,Auditor Interno,Quetzaltenango,Sucursal/Agencia 280,+502 8914-7243
1050,Nombre_1050,Apellido_1050,Gerente de Sucursal,Petén,Sucursal/Agencia 579,+502 3494-6830
1051,Nombre_1051,Apellido_1051,Cajero,Escuintla,Sucursal/Agencia 191,+502 2396-4776
1052,Nombre_1052,Apellido_1052,Auditor Interno,Sacatepéquez,Sucursal/Agencia 243,+502 9709-7218
1053,Nombre_1053,Apellido_1053,Oficial de Crédito,Alta Verapaz,Sucursal/Agencia 662,+502 4607-1682
1054,Nombre_1054,Apellido_1054,Cumplimiento,Escuintla,Sucursal/Agencia 11,+502 1260-7003
1055,Nombre_1055,Apellido_1055,Cumplimiento,Huehuetenango,Sucursal/Agencia 289,+502 2928-9703
1056,Nombre_1056,Apellido_1056,Oficial de Crédito,Petén,Sucursal/Agencia 757,+502 6590-4551
1057,Nombre_1057,Apellido_1057,Cajero,Huehuetenango,Sucursal/Agencia 963,+502 9166-9318
